"reportNbr","offenseCode","offenseDsc","locationName","latitudeCrd","longitudeCrd","firstReportDtm"
"161029050","PUBPEACE","PUBLIC PEACE - OTHER","29XX S GRANT ST","38.84509706","-77.05531299","2016-10-29T22:38:00"
"161029048","SMPLASLT","SIMPLE ASSAULT NON FAMILY","12XX S COURTHOUSE RD","38.86159155","-77.08008687","2016-10-29T22:10:00"
"161029041","PDMVACC","PROPERTY DAMAGE MOTOR VEH ACCIDENT","10TH & WASHINGTON BL ST N","38.88504361","-77.09194464","2016-10-29T20:13:00"
"161029040","PDMVACC","PROPERTY DAMAGE MOTOR VEH ACCIDENT","9XX N STUART ST","38.8798228","-77.11051607","2016-10-29T20:11:00"
"161029038","DRUNK","DRUNKENNESS","27XX S LANG ST","38.8496864","-77.06715208","2016-10-29T20:02:00"
"161029037","LARCENY","LARCENY - OTHER","15XX WILSON","38.89353108","-77.07406292","2016-10-29T19:21:00"
"161029036","LARCENY","LARCENY-BICYCLE","42XX FAIRFAX DR","38.88346558","-77.11038901","2016-10-29T19:05:00"
"161029034","LARCENY","LARC SHOPLIFTING","14XX S HAYES ST","38.86350083","-77.05927753","2016-10-29T18:17:00"
"161029045","PDMVH&R","PROPERTY DAMAGE MOTOR VEH ACC-H&R","10XX N EDGEWOOD ST","38.88730551","-77.09033698","2016-10-29T16:55:00"
"161029033","ASSAULT","ASSAULT - OTHER","32XX 24TH ST S","38.84921008","-77.08518513","2016-10-29T16:48:00"
"161029028","DISORDER","DISORDERLY CONDUCT","15XX WILSON","38.8947389","-77.07807851","2016-10-29T12:55:00"
"161029029","FRAUD","FRAUD - OTHER","14XX LEE","38.90132539","-77.07485626","2016-10-29T12:35:00"
"161029023","LARCENY","LARCENY-FROM BUILDING","39XX LORCOM LN","38.90266286","-77.11004354","2016-10-29T10:00:00"
"161029019","PIMVACC","PERSONAL INJURY MOTOR VEH ACCIDENT","10TH & WASHINGTON BL ST N","38.88344464","-77.09481417","2016-10-29T08:50:00"
"161029021","BURGLARY","BURG NONRES-FORCED-UNK","20XX S EADS ST","38.85576803","-77.05584474","2016-10-29T08:25:00"
"161029015","PDMVH&R","PROPERTY DAMAGE MOTOR VEH ACC-H&R","S GLEBE RD & SHIRLINGTON RD","38.85073623","-77.08618529","2016-10-29T07:04:00"
"161029012","TREPASS","TRESPASSING","17XX CRYSTAL DR","38.85921458","-77.04884429","2016-10-29T06:01:00"
"161029009","SMPLASLT","SIMPLE ASSAULT FAMILY","27XX S ADAMS ST","38.84631402","-77.07488131","2016-10-29T04:10:00"
"161029010","PDMVACC","PROPERTY DAMAGE MOTOR VEH ACCIDENT","S, FOXX MILE RUN DR AT S WALTER REED DR","38.84635362","-77.09658315","2016-10-29T04:08:00"
"161029006","DRUNK","DRUNKENNESS","31XX BLK","38.88815984","-77.09620096","2016-10-29T02:16:00"
"161029004","PDMVH&R","PROPERTY DAMAGE MOTOR VEH ACC-H&R","41XX COLUMBIA PK","38.8603454","-77.10118475","2016-10-29T01:26:00"
"161028037","DRUNK","DRUNKENNESS","48XX COLUMBIA PK","38.85768836","-77.1096081","2016-10-28T22:23:00"
"161028036","PDMVACC","PROPERTY DAMAGE MOTOR VEH ACCIDENT","LEE HW & WASHINGTON BL","38.88750136","-77.16192247","2016-10-28T22:17:00"
"161028035","VANDALSM","VANDALISM (PROP DAMAGE) - OTHER","24XX S GLEBE RD","38.84624717","-77.08125126","2016-10-28T22:16:00"
"161028034","PDMVH&R","PROPERTY DAMAGE MOTOR VEH ACC-H&R","LEE HW ST & N LYNN","38.89731453","-77.07008407","2016-10-28T21:20:00"
"161028033","OTSEXOFF","SEX OFFENSE - OTHER","12XX S THOMAS ST","38.85434981","-77.10442781","2016-10-28T20:13:00"
"161028032","PDMVACC","PROPERTY DAMAGE MOTOR VEH ACCIDENT","COLUMBIA RD & S GLEBE PK","38.85969598","-77.09018691","2016-10-28T19:16:00"
"161028028","PIMVACC","PERSONAL INJURY MOTOR VEH ACCIDENT","ARLINGTON VA & JEFFERSON DAVIS HW","38.8568787","-77.05299738","2016-10-28T18:14:00"
"161028030","PDMVACC","PROPERTY DAMAGE MOTOR VEH ACCIDENT","20XX COLUMBIA PK","38.86392265","-77.08031769","2016-10-28T18:00:00"
"161028027","FNDBODY","DEATHS AND BODIES FOUND OTHER","13XX S DINWIDDIE ST","38.84829548","-77.11356816","2016-10-28T17:44:00"
"161028026","PDMVH&R","PROPERTY DAMAGE MOTOR VEH ACC-H&R","9XX 110 NORTH","38.87703108","-77.05981541","2016-10-28T17:43:00"
"161028024","PDMVACC","PROPERTY DAMAGE MOTOR VEH ACCIDENT","FORT MYER & LEE HW DR","38.89744122","-77.07409282","2016-10-28T17:06:00"
"161028025","PIMVACC","PERSONAL INJURY MOTOR VEH ACCIDENT","S, FOXX MILE RUN DR AT S GEORGE MASON DR","38.85312422","-77.10224448","2016-10-28T17:06:00"
"161028023","FORGERY","FORGERY OF OTHER OBJECT","3XX N 395 HWY","38.8686354","-77.04815999","2016-10-28T16:26:00"
"161028019","PDMVACC","PROPERTY DAMAGE MOTOR VEH ACCIDENT","FORT MYER & WILSON BL DR","38.89339557","-77.073892","2016-10-28T13:46:00"
"161028018","LARCENY","LARCENY - OTHER","15XX WILSON","38.89650979","-77.07492637","2016-10-28T13:36:00"
"161028017","LARCENY","LARCENY-FROM BUILDING","1XX S OLD GLEBE RD","38.86906323","-77.09500637","2016-10-28T12:59:00"
"161028015","VANDALSM","VANDALISM (PROP DAMAGE) - OTHER","25XX 10TH ST N","38.88416994","-77.08914405","2016-10-28T11:50:00"
"161028012","FORGERY","FORGERY OTHER THAN LISTED","17XX N GEORGE MASON DR","38.89155975","-77.12738176","2016-10-28T09:58:00"
"161028011","PIMVACC","PERSONAL INJURY MOTOR VEH ACCIDENT","12TH & JEFFERSON DAVIS HW ST S","38.86347574","-77.05073297","2016-10-28T08:30:00"
"161028009","PDMVACC","PROPERTY DAMAGE MOTOR VEH ACCIDENT","21XX CLARENDON","38.88931389","-77.08712659","2016-10-28T07:05:00"
"161028008","PDMVACC","PROPERTY DAMAGE MOTOR VEH ACCIDENT","2ND & WASHINGTON BL ST S","38.87079431","-77.08294282","2016-10-28T06:30:00"
"161028002","NARCOTIC","MARIJUANA-SELLING","50XX 10TH ST S","38.85509532","-77.11101646","2016-10-27T23:56:00"
"161027041","PIMVACC","PERSONAL INJURY MOTOR VEH ACCIDENT","COLUMBIA ST & S FREDERICK PK","38.85608031","-77.11639059","2016-10-27T17:17:00"
"161027040","PDMVACC","PROPERTY DAMAGE MOTOR VEH ACCIDENT","LEE HW & SPOUT RUN PY","38.89743692","-77.09718736","2016-10-27T17:15:00"
"161027038","TREPASS","TRESPASSING","41XX S FOUR MILE RUN DR","38.84767675","-77.10052482","2016-10-27T16:30:00"
"161027035","PDMVACC","PROPERTY DAMAGE MOTOR VEH ACCIDENT","COLUMBIA ST & S FREDERICK PK","38.85359004","-77.11317635","2016-10-27T16:18:00"
"161027030","DISORDER","DISORDERLY CONDUCT","29XX S GLEBE RD","38.84712803","-77.06755622","2016-10-27T14:42:00"
"161027027","FNDBODY","DEATHS NATURAL CAUSES","12XX N HIGHLAND ST","38.88912475","-77.09368599","2016-10-27T14:23:00"
"161027025","TREPASS","TRESPASSING","11XX S HAYES ST","38.86488205","-77.0613325","2016-10-27T12:38:00"
"161027024","PDMVACC","PROPERTY DAMAGE MOTOR VEH ACCIDENT","COLUMBIA ST & S MONROE PK","38.86133056","-77.09524319","2016-10-27T12:23:00"
"161027015","LARCENY","LARC PARTS FROM VEHICLE","21XX S NELSON ST","38.84915832","-77.08938365","2016-10-27T09:20:00"
